concept_id,variety_id
breathe,pai_es
breathe,pai_nt
breathe,pai_ct
breathe,pai_st
breathe,ruk_es
breathe,ruk_bd
breathe,ruk_tw
breathe,ruk_tn
breathe,ruk_mg
breathe,ruk_mn
breathe,puy_py
breathe,puy_tp
breathe,puy_ws
breathe,puy_ks
breathe,trv
breathe,kav
breathe,tso
breathe,knv
breathe,hla
breathe,yam
breathe,sak
think,pai_es
think,pai_nt
think,pai_ct
think,pai_st
think,puy_py
think,puy_tp
think,puy_ws
think,puy_ks
kill,trv
fight,pan
fight,pmp
turn,ami_nt
turn,ami_hk
turn,ami_ha
turn,ami_ml
turn,ami_hc
turn,ata_sq
turn,ata_su
turn,ata_ml
turn,ata_pl
turn,ata_sk
turn,ata_kl
turn,say
turn,tha
turn,sed_to
turn,sed_tg
turn,sed_tr
turn,bun_td
turn,bun_bh
turn,bun_vt
turn,bun_bn
turn,bun_ib
turn,pai_es
turn,pai_nt
turn,pai_ct
turn,pai_st
turn,ruk_es
turn,ruk_bd
turn,ruk_tw
turn,ruk_tn
turn,ruk_mg
turn,ruk_mn
turn,puy_py
turn,puy_tp
turn,puy_ws
turn,puy_ks
turn,trv
turn,kav
turn,tso
turn,knv
turn,hla
turn,yam
turn,sak
squeeze,tso
wipe,pan
sew,ami_nt
sew,ami_hk
sew,ami_ha
sew,ami_ml
sew,ami_hc
sew,ata_sq
sew,ata_su
sew,ata_ml
sew,ata_pl
sew,ata_sk
sew,ata_kl
sew,say
sew,tha
sew,sed_to
sew,sed_tg
sew,sed_tr
sew,bun_td
sew,bun_bh
sew,bun_vt
sew,bun_bn
sew,bun_ib
sew,pai_es
sew,pai_nt
sew,pai_ct
sew,pai_st
sew,ruk_es
sew,ruk_bd
sew,ruk_tw
sew,ruk_tn
sew,ruk_mg
sew,ruk_mn
sew,puy_py
sew,puy_tp
sew,puy_ws
sew,puy_ks
sew,trv
sew,kav
sew,tso
sew,knv
sew,hla
sew,yam
sew,sak
say,ami_nt
say,ami_hk
say,ami_ha
say,ami_ml
say,ami_hc
say,ata_sq
say,ata_su
say,ata_ml
say,ata_pl
say,ata_sk
say,ata_kl
say,pan
play,pan
play,pmp
float,ami_nt
float,ami_hk
float,ami_ha
float,ami_ml
float,ami_hc
float,ata_sq
float,ata_su
float,ata_ml
float,ata_pl
float,ata_sk
float,ata_kl
float,say
float,tha
float,sed_to
float,sed_tg
float,sed_tr
float,bun_td
float,bun_bh
float,bun_vt
float,bun_bn
float,bun_ib
float,pai_es
float,pai_nt
float,pai_ct
float,pai_st
float,ruk_es
float,ruk_bd
