concept_id,variety_id,orth,source_type,source_id,source_gloss,source_level,file,sheet,row,source_note,fallback_from
hand,ami_nt,kamay,excel,06-08,手,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,147,,
nose,ami_nt,ngangusuan,excel,06-10,鼻子,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,149,,
foot,ami_nt,kukuʼ,excel,06-11,腳,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,150,,
tooth,ami_nt,wadis,excel,06-12,牙齒,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,151,,
hair,ami_nt,vukes,excel,06-13,頭髮,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,152,,
blood,ami_nt,remes,excel,06-14,血,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,153,,
meat,ami_nt,heci,excel,06-15,肉,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,154,,
belly,ami_nt,tiyad,excel,06-17,肚子,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,156,,
breast,ami_nt,cucu,excel,06-18,乳房,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,157,,
back,ami_nt,kulul,excel,06-22,背部,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,161,,
skin,ami_nt,vanges,excel,06-23,皮,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,162,,
heart,ami_nt,valucuʼ,excel,06-28,心臟,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,167,,
knee,ami_nt,tusur,excel,06-31,膝蓋,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,170,,
liver,ami_nt,atay,excel,06-34,肝臟,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,173,,
fat,ami_nt,simal,excel,06-37,油脂,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,176,,
tongue,ami_nt,sema,excel,06-42,舌頭,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,181,,
neck,ami_nt,liel,excel,06-47,脖子,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,186,,
tail,ami_nt,pulut,excel,07-01,尾巴,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,197,,
dog,ami_nt,wacu,excel,07-03,狗,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,199,,
bird,ami_nt,ayam,excel,07-06,鳥,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,202,,
fish,ami_nt,vuting,excel,07-07,魚,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,203,,
snake,ami_nt,uner,excel,07-19,蛇,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,215,,
louse,ami_nt,kutu,excel,07-33,頭蝨,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,229,,
worm,ami_nt,atikak,excel,07-39,蚯蚓,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,235,,
wing,ami_nt,sakuvad,excel,07-49,翅膀,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,245,,
horn,ami_nt,puhung,excel,07-64,(動物的)角,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,260,,
tree,ami_nt,kilang,excel,08-03,樹,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,265,,
leaf,ami_nt,papah,excel,08-06,葉子,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,268,,
flower,ami_nt,varu,excel,08-09,花朵,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,271,,
stick,ami_nt,caang,excel,08-15,樹枝,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,277,,
fruit,ami_nt,heci,excel,08-16,(植物的)果實,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,278,,
grass,ami_nt,rengus,excel,08-20,草,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,282,,
fruit,ami_nt,lusay,excel,08-24,水果,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,286,,
root,ami_nt,lamit,excel,08-28,樹根,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,290,,
seed,ami_nt,sapaluma,excel,08-44,種子,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,306,,
rope,ami_nt,rayic,excel,09-15,繩索,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,335,,
stick,ami_nt,caang,excel,09-18,枝條,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,338,,
ash,ami_nt,avu,excel,09-49,炭灰,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,369,,
road,ami_nt,lalan,excel,10-01,道路,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,393,,
wind,ami_nt,vali,excel,10-04,風,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,396,,
sand,ami_nt,vunak,excel,10-05,沙子,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,397,,
earth,ami_nt,sera,excel,10-06,泥土,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,398,,
river,ami_nt,tarawadaw,excel,10-07,河流,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,399,,
lake,ami_nt,vanaw,excel,10-08,湖泊,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,400,,
