concept_id,variety_id,orth,source_type,source_id,source_gloss,source_level,file,sheet,row,source_note,fallback_from
sit,tha,milhungqu,excel,25-43,坐著,,2026學習詞表-14邵語.xlsx,14邵語,699,,
stand,tha,milhalhilhi,excel,25-44,站著,,2026學習詞表-14邵語.xlsx,14邵語,700,,
sit,tha,milhungqu,excel,26-03,坐下,,2026學習詞表-14邵語.xlsx,14邵語,712,,
hit,tha,kmaitunu,excel,26-08,打(人),,2026學習詞表-14邵語.xlsx,14邵語,717,,
stab,tha,kmutafalh,excel,26-09,刺,,2026學習詞表-14邵語.xlsx,14邵語,718,,
push,tha,shmukuth,excel,26-13,推,,2026學習詞表-14邵語.xlsx,14邵語,722,,
scratch,tha,kmulhaw,excel,26-18,抓癢,,2026學習詞表-14邵語.xlsx,14邵語,727,,
lie,tha,miataknaknar,excel,26-20,躺,,2026學習詞表-14邵語.xlsx,14邵語,729,,
blow,tha,miup,excel,26-28,吹,,2026學習詞表-14邵語.xlsx,14邵語,737,,
dig,tha,kmari,excel,26-29,挖掘,,2026學習詞表-14邵語.xlsx,14邵語,738,,
cut,tha,kunlhit,excel,26-30,切,,2026學習詞表-14邵語.xlsx,14邵語,739,,
swim,tha,mrauz,excel,26-31,游泳,,2026學習詞表-14邵語.xlsx,14邵語,740,,
tie,tha,qmuthquth,excel,26-38,綁住,,2026學習詞表-14邵語.xlsx,14邵語,747,,
pull,tha,shmuruz,excel,26-39,拉,,2026學習詞表-14邵語.xlsx,14邵語,748,,
split,tha,tmalhtalh,excel,26-40,劈(木材),,2026學習詞表-14邵語.xlsx,14邵語,749,,
hold,tha,kmathu,excel,26-42,提著,,2026學習詞表-14邵語.xlsx,14邵語,751,,
hold,tha,hmadu,excel,26-43,握著,,2026學習詞表-14邵語.xlsx,14邵語,752,,
tie,tha,qmuthquth,excel,26-44,捆綁,,2026學習詞表-14邵語.xlsx,14邵語,753,,
scratch,tha,kmulhaw,excel,26-56,搔癢,,2026學習詞表-14邵語.xlsx,14邵語,765,另作搔扒,
rub,tha,mrunsuz,excel,26-85,揉搓(衣物),,2026學習詞表-14邵語.xlsx,14邵語,794,,
lie,tha,makiwar pantatnar,excel,26-88,側臥,,2026學習詞表-14邵語.xlsx,14邵語,797,,
fight,tha,mapathay,excel,26-96,打架,,2026學習詞表-14邵語.xlsx,14邵語,805,,
squeeze,tha,pitpit,excel,26-97,擠,,2026學習詞表-14邵語.xlsx,14邵語,806,,
dig,tha,kmari,excel,26-100,(用手)挖掘,,2026學習詞表-14邵語.xlsx,14邵語,809,統稱,
stand,tha,milhilhi,excel,26-105,起立,,2026學習詞表-14邵語.xlsx,14邵語,814,,
eat,tha,kmaan,excel,27-01,吃,,2026學習詞表-14邵語.xlsx,14邵語,816,,
suck,tha,shmiʼuthʼuth,excel,27-02,吸,,2026學習詞表-14邵語.xlsx,14邵語,817,,
drink,tha,miqilha,excel,27-03,喝,,2026學習詞表-14邵語.xlsx,14邵語,818,,
vomit,tha,mutaq,excel,27-04,吐,,2026學習詞表-14邵語.xlsx,14邵語,819,,
bite,tha,qmirqir,excel,27-05,咬,,2026學習詞表-14邵語.xlsx,14邵語,820,,
eat,tha,kmaan,excel,27-15,吃(東西),,2026學習詞表-14邵語.xlsx,14邵語,830,,
know,tha,mafazaq,excel,28-02,知道,,2026學習詞表-14邵語.xlsx,14邵語,836,,
see,tha,mriqaz,excel,28-03,看,,2026學習詞表-14邵語.xlsx,14邵語,837,,
say,tha,malhinuna,excel,28-04,說,,2026學習詞表-14邵語.xlsx,14邵語,838,,
smell,tha,shmazik,excel,28-07,聞(如聞味道),,2026學習詞表-14邵語.xlsx,14邵語,841,,
hear,tha,tunmaza,excel,28-19,聽,,2026學習詞表-14邵語.xlsx,14邵語,853,,
think,tha,mangqtu,excel,28-25,想(思考),,2026學習詞表-14邵語.xlsx,14邵語,859,,
fear,tha,shungkash,excel,29-02,害怕,,2026學習詞表-14邵語.xlsx,14邵語,866,,
wash,tha,flhuq,excel,30-02,洗(衣物),,2026學習詞表-14邵語.xlsx,14邵語,876,,
sleep,tha,malhus,excel,30-09,睡覺,,2026學習詞表-14邵語.xlsx,14邵語,883,,
kill,tha,kmaipathay,excel,30-10,殺牲畜,,2026學習詞表-14邵語.xlsx,14邵語,884,廣義-殺,
lie,tha,pantaknar,excel,30-16,躺臥,,2026學習詞表-14邵語.xlsx,14邵語,890,,
burn,tha,pashnara,excel,30-20,燒(如燒稻草),,2026學習詞表-14邵語.xlsx,14邵語,894,,
hunt,tha,daqa,excel,30-25,陷獵,,2026學習詞表-14邵語.xlsx,14邵語,899,大型壓陷,
burn,tha,shunara,excel,30-54,燃燒,,2026學習詞表-14邵語.xlsx,14邵語,928,,
drink,tha,miqilha,excel,30-61,喝(水),,2026學習詞表-14邵語.xlsx,14邵語,935,,
sing,tha,maqaquyash,excel,30-64,唱歌,,2026學習詞表-14邵語.xlsx,14邵語,938,,
play,tha,malhalhiqash,excel,30-65,玩耍,,2026學習詞表-14邵語.xlsx,14邵語,939,,
die,tha,mathay,excel,31-01,死亡,,2026學習詞表-14邵語.xlsx,14邵語,941,,
live,tha,maqalhtash,excel,31-08,活的,,2026學習詞表-14邵語.xlsx,14邵語,948,,
heavy,tha,mabrith,excel,32-02,重(重量),,2026學習詞表-14邵語.xlsx,14邵語,963,,
big,tha,maraʼin,excel,32-05,大的,,2026學習詞表-14邵語.xlsx,14邵語,966,,
cold,tha,mashimzaw,excel,32-08,冷,,2026學習詞表-14邵語.xlsx,14邵語,969,,
small,tha,langqisusay,excel,32-09,小的,,2026學習詞表-14邵語.xlsx,14邵語,970,,
many,tha,manasha,excel,32-10,多,,2026學習詞表-14邵語.xlsx,14邵語,971,,
cold,tha,matithi,excel,32-12,冰冷,,2026學習詞表-14邵語.xlsx,14邵語,973,,
few,tha,ladadu,excel,32-14,少的,,2026學習詞表-14邵語.xlsx,14邵語,975,,
laugh,tha,mathathawa,excel,32-16,笑,,2026學習詞表-14邵語.xlsx,14邵語,977,,
wet,tha,matubu,excel,32-17,濕的,,2026學習詞表-14邵語.xlsx,14邵語,978,,
thick,tha,makushtur,excel,32-19,厚的,,2026學習詞表-14邵語.xlsx,14邵語,980,,
thin,tha,mabazay,excel,32-21,薄的,,2026學習詞表-14邵語.xlsx,14邵語,982,,
dirty,tha,maradaradak,excel,32-22,髒,,2026學習詞表-14邵語.xlsx,14邵語,983,,
dry,tha,maqalhiw,excel,32-28,乾的,,2026學習詞表-14邵語.xlsx,14邵語,989,,
new,tha,faqlhu,excel,32-31,新的,,2026學習詞表-14邵語.xlsx,14邵語,992,,
old,tha,sasaz,excel,32-32,舊的,,2026學習詞表-14邵語.xlsx,14邵語,993,,
near,tha,iqualh,excel,32-33,近,,2026學習詞表-14邵語.xlsx,14邵語,994,,
bad,tha,kurubuzin,excel,32-35,壞掉,,2026學習詞表-14邵語.xlsx,14邵語,996,壞掉了,
far,tha,ihazish,excel,32-37,遠,,2026學習詞表-14邵語.xlsx,14邵語,998,,
swell,tha,lhumfawa,excel,32-38,腫,,2026學習詞表-14邵語.xlsx,14邵語,999,,
smooth,tha,madaqri,excel,32-44,滑,,2026學習詞表-14邵語.xlsx,14邵語,1005,,
warm,tha,maqalhuuz,excel,32-56,暖和,,2026學習詞表-14邵語.xlsx,14邵語,1017,,
dull,tha,matarithtith,excel,32-57,鈍的,,2026學習詞表-14邵語.xlsx,14邵語,1018,,
straight,tha,malunduz,excel,32-65,直,,2026學習詞表-14邵語.xlsx,14邵語,1026,,
full,tha,mapunish,excel,32-66,滿了,,2026學習詞表-14邵語.xlsx,14邵語,1027,,
wide,tha,maharan,excel,32-68,(空間)寬敞,,2026學習詞表-14邵語.xlsx,14邵語,1029,,
correct,tha,dadu,excel,32-69,正確,,2026學習詞表-14邵語.xlsx,14邵語,1030,,
warm,tha,maqalhuuz,excel,32-72,溫的(水),,2026學習詞表-14邵語.xlsx,14邵語,1033,,
long,tha,maquliush,excel,32-74,長,,2026學習詞表-14邵語.xlsx,14邵語,1035,,
short,tha,luish,excel,32-76,短,,2026學習詞表-14邵語.xlsx,14邵語,1037,,
full,tha,mapunish,excel,32-79,滿滿,,2026學習詞表-14邵語.xlsx,14邵語,1040,,
wipe,tha,tmitish,excel,33-06,擦拭,,2026學習詞表-14邵語.xlsx,14邵語,1048,,
throw,tha,qauriwa,excel,34-19,丟棄,,2026學習詞表-14邵語.xlsx,14邵語,1069,,
count,tha,lhmupish,excel,34-29,數(計算),,2026學習詞表-14邵語.xlsx,14邵語,1079,,
good,tha,maqitan,excel,34-34,好,,2026學習詞表-14邵語.xlsx,14邵語,1084,,
not,tha,ani,excel,35-03,不是(回答用),,2026學習詞表-14邵語.xlsx,14邵語,1092,,
because,tha,maqa,excel,36-05,因為,,2026學習詞表-14邵語.xlsx,14邵語,1101,,
and,tha,masa,excel,36-18,和,,2026學習詞表-14邵語.xlsx,14邵語,1114,,
if,tha,ya,excel,36-22,如果,,2026學習詞表-14邵語.xlsx,14邵語,1118,,
one,sed_to,kingal,excel,01-01,一,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,5,,
two,sed_to,dha,excel,01-02,二,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,6,,
three,sed_to,turu,excel,01-03,三,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,7,,
four,sed_to,spac,excel,01-04,四,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,8,,
five,sed_to,rima,excel,01-05,五,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,9,,
six,sed_to,mturu,excel,01-06,六,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,10,,
seven,sed_to,mpitu,excel,01-07,七,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,11,,
eight,sed_to,mspac,excel,01-08,八,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,12,,
nine,sed_to,mngari,excel,01-09,九,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,13,,
ten,sed_to,maxal,excel,01-10,十,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,14,,
twenty,sed_to,mpusal,excel,01-20,二十,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,24,,
hundred,sed_to,kbkuy,excel,01-34,百,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,38,,
hundred,sed_to,kingal kbkuy,excel,01-35,一百,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,39,,
some,sed_to,tikuh,excel,01-38,一些些,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,42,tipiq,
all,sed_to,kana,excel,01-43,全部,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,47,,
few,sed_to,tipiq,excel,01-44,一點點,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,48,,
you_singular,sed_to,isu,excel,02-01,你,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,51,,
i,sed_to,yaku,excel,02-02,我,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,52,,
he,sed_to,hiya,excel,02-03,他,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,53,,
you_plural,sed_to,yamu,excel,02-04,你們,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,54,,
we,sed_to,yami,excel,02-05,我們,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,55,,
they,sed_to,dhiya,excel,02-06,他們,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,56,,
we,sed_to,yami,excel,02-13,我們(排除式),,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,63,,
we,sed_to,ita,excel,02-14,咱們(包含式),,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,64,,
that,sed_to,way,excel,02-16,那個,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,66,wa那個,
this,sed_to,ni,excel,02-17,這個,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,67,,
here,sed_to,hini,excel,02-18,這裡,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,68,niyi hini這裡,
there,sed_to,hiya,excel,02-19,那裡,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,69,wa ha那裡,
what,sed_to,manu,excel,03-02,什麼,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,73,,
how,sed_to,mphuya,excel,03-03,如何,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,74,nchuya/hyaun如何,
when,sed_to,knuwan,excel,03-04,何時(未發生),,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,75,,
who,sed_to,ima,excel,03-05,誰,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,76,,
where,sed_to,inu,excel,03-07,哪裡,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,78,wa inu哪裡,
how,sed_to,hmuya,excel,03-09,怎麼,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,80,,
where,sed_to,inu,excel,03-12,什麼地方,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,83,,
when,sed_to,cnuwan,excel,03-13,何時(已發生),,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,84,,
father,sed_to,tama,excel,04-01,爸爸,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,87,,
mother,sed_to,bubu,excel,04-02,媽媽,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,88,,
wife,sed_to,snaw/qridin,excel,04-07,配偶(先生/太太),,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,93,,
husband,sed_to,snaw/qridin,excel,04-07,配偶(先生/太太),,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,93,,
husband,sed_to,snaw,excel,04-15,丈夫,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,101,,
name,sed_to,hangan,excel,05-01,名字,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,114,,
child,sed_to,laqi,excel,05-05,孩童,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,118,,
woman,sed_to,qridin,excel,05-07,女性,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,120,,
man,sed_to,snaw,excel,05-08,男性,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,121,,
person,sed_to,sediq,excel,05-09,人,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,122,Sediq賽德克族,
ear,sed_to,birac,excel,06-01,耳朵,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,140,,
leg,sed_to,btriq,excel,06-02,大腿,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,141,,
eye,sed_to,doriq,excel,06-03,眼睛,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,142,,
mouth,sed_to,quwaq,excel,06-05,嘴巴,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,144,,
head,sed_to,tunux,excel,06-06,頭,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,145,,
fingernail,sed_to,kukuh,excel,06-07,指甲,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,146,,
hand,sed_to,bawa,excel,06-08,手,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,147,,
nose,sed_to,muhing,excel,06-10,鼻子,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,149,,
foot,sed_to,qaqay,excel,06-11,腳,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,150,,
tooth,sed_to,rupun,excel,06-12,牙齒,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,151,,
hair,sed_to,snunux,excel,06-13,頭髮,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,152,,
blood,sed_to,dara,excel,06-14,血,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,153,,
meat,sed_to,wawa,excel,06-15,肉,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,154,hiyi肉,
belly,sed_to,buyas,excel,06-17,肚子,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,156,nbuyas肚子; 腹部,
breast,sed_to,nunuh,excel,06-18,乳房,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,157,,
back,sed_to,bukuy,excel,06-22,背部,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,161,,
skin,sed_to,qraqil,excel,06-23,皮,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,162,,
heart,sed_to,tama baraq,excel,06-28,心臟,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,167,,
knee,sed_to,pungu qaqay,excel,06-31,膝蓋,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,170,bqlic膝蓋窩,
liver,sed_to,rumul,excel,06-34,肝臟,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,173,,
fat,sed_to,ricuh,excel,06-37,油脂,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,176,msiyang,
tongue,sed_to,hma,excel,06-42,舌頭,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,181,,
neck,sed_to,waru,excel,06-47,脖子,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,186,,
neck,sed_to,qilu,excel,06-52,頸子,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,191,,
tail,sed_to,ngungu,excel,07-01,尾巴,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,197,,
dog,sed_to,huling,excel,07-03,狗,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,199,,
bird,sed_to,qduda,excel,07-06,鳥,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,202,qbhni/qbni鳥,
fish,sed_to,qcurux,excel,07-07,魚,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,203,,
snake,sed_to,quyu,excel,07-19,蛇,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,215,,
louse,sed_to,quhing,excel,07-33,頭蝨,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,229,,
worm,sed_to,bicur,excel,07-39,蚯蚓,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,235,,
wing,sed_to,palic,excel,07-49,翅膀,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,245,,
horn,sed_to,urung,excel,07-64,(動物的)角,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,260,urung牛角、老鹿茸、羊角、羌角; tnguraw rqnux幼鹿茸,
tree,sed_to,qhuni,excel,08-03,樹,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,265,,
leaf,sed_to,wasaw,excel,08-06,葉子,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,268,,
flower,sed_to,phpah,excel,08-09,花朵,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,271,,
stick,sed_to,cida,excel,08-15,樹枝,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,277,,
fruit,sed_to,hiyi pnwalang,excel,08-16,(植物的)果實,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,278,,
grass,sed_to,spriq,excel,08-20,草,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,282,,
fruit,sed_to,hiyi qhuni,excel,08-24,水果,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,286,,
root,sed_to,wamil,excel,08-28,樹根,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,290,,
seed,sed_to,rhak,excel,08-44,種子,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,306,,
rope,sed_to,wasil,excel,09-15,繩索,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,335,,
stick,sed_to,qrti,excel,09-18,枝條,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,338,,
ash,sed_to,qbulic,excel,09-49,炭灰,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,369,,
road,sed_to,elu,excel,10-01,道路,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,393,,
forest,sed_to,bbuyu,excel,10-02,森林,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,394,,
wind,sed_to,bwihur,excel,10-04,風,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,396,,
sand,sed_to,bnaqi,excel,10-05,沙子,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,397,,
earth,sed_to,dxral,excel,10-06,泥土,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,398,,
river,sed_to,yayung,excel,10-07,河流,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,399,,
lake,sed_to,langu,excel,10-08,湖泊,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,400,,
sun,sed_to,hidaw,excel,11-02,太陽,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,417,,
moon,sed_to,idas,excel,11-03,月亮,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,418,,
sky,sed_to,karac,excel,11-04,天空,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,419,,
star,sed_to,pngerah,excel,11-05,星星,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,420,碗,
rain,sed_to,quyux,excel,11-06,雨,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,421,,
snow,sed_to,huda,excel,11-07,雪,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,422,,
cloud,sed_to,rulung,excel,11-12,雲,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,427,,
smoke,sed_to,qrngul,excel,11-13,煙,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,428,,
fire,sed_to,puniq,excel,11-17,火,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,432,,
ice,sed_to,huda,excel,11-18,冰,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,433,,
stone,sed_to,btunux,excel,12-05,石頭,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,454,單手可拿起的,
night,sed_to,kman,excel,13-02,晚上,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,471,,
day,sed_to,diyan,excel,13-07,白天,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,476,,
night,sed_to,kman,excel,13-22,夜,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,491,cka rabi午夜；半夜,
year,sed_to,kngkawas,excel,13-28,年,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,497,kngkwasan,
in,sed_to,ruma,excel,14-01,裡面,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,502,,
at,sed_to,wa ha,excel,14-02,在某處,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,503,wa hiya在那裏,
right,sed_to,narac,excel,14-10,右邊,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,511,,
left,sed_to,iwil,excel,14-11,左邊,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,512,iril,
water,sed_to,qsiya,excel,21-02,水,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,601,,
salt,sed_to,timu,excel,21-07,鹽,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,606,,
egg,sed_to,balung,excel,21-09,蛋,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,608,,
white,sed_to,bhuway,excel,22-01,白色,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,626,mbhuway,
black,sed_to,mqalux,excel,22-02,黑色,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,627,,
red,sed_to,mbanah,excel,22-03,紅色,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,628,,
yellow,sed_to,mcayis,excel,22-05,黃色,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,630,,
green,sed_to,msama,excel,22-08,綠色,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,633,,
give,sed_to,bqani,excel,25-07,給,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,663,biqi; muway給,
come,sed_to,miyah,excel,25-08,來,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,664,,
walk,sed_to,mksa,excel,25-10,走路,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,666,,
fly,sed_to,skaya,excel,25-12,飛,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,668,,
fall,sed_to,mhhur,excel,25-26,(植物的果實)掉落,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,682,,
sit,sed_to,tlung,excel,25-43,坐著,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,699,,
stand,sed_to,mhiyu,excel,25-44,站著,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,700,,
sit,sed_to,tlung,excel,26-03,坐下,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,712,,
hit,sed_to,smbuc,excel,26-08,打(人),,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,717,cmbu打;射; ptuluk揍,
stab,sed_to,meytaq,excel,26-09,刺,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,718,cmuqi刺,
push,sed_to,cmikul,excel,26-13,推,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,722,,
scratch,sed_to,kmawah,excel,26-18,抓癢,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,727,,
lie,sed_to,tqraq,excel,26-20,躺,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,729,ksaraw躺,
blow,sed_to,miyuk,excel,26-28,吹,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,737,,
dig,sed_to,kmari,excel,26-29,挖掘,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,738,,
cut,sed_to,mbuh,excel,26-30,切,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,739,mbing; kmuruc,
swim,sed_to,tmapaq qsiya,excel,26-31,游泳,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,740,,
tie,sed_to,bkuy,excel,26-38,綁住,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,747,,
pull,sed_to,blbil,excel,26-39,拉,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,748,dmulus拖著,
split,sed_to,cmax,excel,26-40,劈(木材),,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,749,,
hold,sed_to,dmidil,excel,26-42,提著,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,751,,
hold,sed_to,dmuwi,excel,26-43,握著,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,752,,
tie,sed_to,mkuy,excel,26-44,捆綁,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,753,bkiyan綑綁,
scratch,sed_to,kmkaw,excel,26-56,搔癢,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,765,,
rub,sed_to,rndruc,excel,26-85,揉搓(衣物),,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,794,dmruc,
lie,sed_to,sbang,excel,26-88,側臥,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,797,,
fight,sed_to,tdiyal,excel,26-96,打架,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,805,tlayan,
squeeze,sed_to,muruc,excel,26-97,擠,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,806,,
dig,sed_to,kmari,excel,26-100,(用手)挖掘,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,809,,
stand,sed_to,tutuy,excel,26-105,起立,,2026學習詞表-15都達賽德克語.xlsx,15都達賽德克語,814,hiyu,
