concept_id,variety_id,orth,ipa,note
you_singular,sak,kisu,,2026學習詞表 02-01「你」
you_singular,pan,*kaSu,,"ACD PAN 19072-024b2171c8958efa3ce919d2ba68322c-1「2sg., you」"
you_singular,pmp,*kahu,,"ACD PMP 19081-024b2171c8958efa3ce919d2ba68322c-1「2sg., you」"
he,ami_nt,cira,,2026學習詞表 02-03「他」
he,ami_hk,ciira,,2026學習詞表 02-03「他」
he,ami_ha,cingra,,2026學習詞表 02-03「他」：同其他方言ciira、cinira。
he,ami_ml,mira/cingra,,2026學習詞表 02-03「他」
he,ami_hc,cingra,,2026學習詞表 02-03「他」
he,ata_sq,hiya,,2026學習詞表 02-03「他」：hiya’
he,ata_su,hiya,,2026學習詞表 02-03「他」
he,ata_ml,hiyaʼ/ ihyaʼ,,2026學習詞表 02-03「他」
he,ata_pl,hiyaʼ,,2026學習詞表 02-03「他」
he,ata_sk,hiya,,2026學習詞表 02-03「他」
he,ata_kl,heya/ hya,,2026學習詞表 02-03「他」：hya(眉原)
he,say,siya,,2026學習詞表 02-03「他」
he,tha,thithu,,2026學習詞表 02-03「他」：另作他的
he,sed_to,hiya,,2026學習詞表 02-03「他」
he,sed_tg,heya,,2026學習詞表 02-03「他」
he,sed_tr,hiya,,2026學習詞表 02-03「他」
he,bun_td,cia,,2026學習詞表 02-03「他」：主格/屬格
he,bun_bh,mackiʼ,,2026學習詞表 02-03「他」：naip(主格) naipi(近)naipun(中)naipa(遠)cia(受格) ciadi(近)ciatun(中)ciata(遠)
he,bun_vt,aipa,,2026學習詞表 02-03「他」：主格aipa/naipa，受格 istaa/siata
he,bun_bn,naipa / siata / istaa,,2026學習詞表 02-03「他」：istaa(受格)
he,bun_ib,saia,,"2026學習詞表 02-03「他」：主-saiin(貼身), saian(近), saia(遠)；受-saicin(貼身), saitan(近), saicin(遠)"
he,pai_es,timadju,,2026學習詞表 02-03「他」
he,pai_nt,timadju,,2026學習詞表 02-03「他」
